Universidades
Univalle
Buitrera
Melendez
Capri
Caldas
Refugio
Pampalinda
Plaza de Toros
Unidad Deportiva
LIdo
Tequendama
Estadio
Manzana del Saber
Santa Librada
Fray Damian
Santa Rosa
Centro
Plaza de Caycedo
La Ermita
San Pedro
Petecuy
Sucre
Andrés Sanin
7 de Agosto
Trebol
Villacolombia
Chapinero
Atanasio 
Floresta
Belalcazar
San Pascual
San Bosco
Cien Palos
Primitivo
Santa Mónica
Villanueva
Conquistadores
Calipso
Villa del Lago
Lleras Restrepo
Nueva Floresta
El Pondaje
El Diamante
Ciudad Model
Villa del Sur
Republica de Israel
Mariano Ramos
Cañaverales
Terminal Simón Bolivar
Universidades,Univalle
Univaller,Buitrera
Buitrera,Melendez
Melendez,Capri
Capri,Caldas
Caldas, Refugio
Refugio,Pampalinda
Pampalinda,Plaza de Toros
Plaza de Toros,Unidad Deportiva
Lido
Tequendama,Estadio
Estadio,Manzana del Saber
Manzana del Saber,San Bosco
San Bosco,San Pascual
San Pascual,Sucre
